iter	Passed	Remaining
1182	12889	35814
1183	12899	35801
1184	12909	35788
1185	12920	35775
1186	12930	35764
1187	12941	35751
1188	12951	35738
1189	12961	35727
1190	12972	35714
1191	12982	35702
1192	12993	35690
1193	13003	35676
1194	13013	35663
1195	13023	35650
1196	13033	35638
1197	13044	35627
1198	13054	35614
1199	13065	35602
1200	13075	35591
1201	13086	35580
1202	13097	35567
1203	13107	35554
1204	13119	35547
1205	13131	35539
1206	13143	35532
1207	13154	35521
1208	13165	35511
1209	13176	35500
1210	13187	35489
1211	13197	35477
1212	13208	35464
1213	13218	35452
1214	13229	35441
1215	13240	35431
1216	13251	35420
1217	13262	35409
1218	13273	35399
1219	13284	35390
1220	13296	35381
1221	13306	35368
1222	13317	35358
1223	13327	35345
1224	13338	35332
1225	13348	35320
1226	13358	35308
1227	13369	35295
1228	13380	35284
1229	13390	35272
1230	13400	35258
1231	13410	35246
1232	13420	35234
1233	13431	35222
1234	13441	35209
1235	13451	35196
1236	13461	35183
1237	13472	35170
1238	13482	35158
1239	13492	35145
1240	13503	35135
1241	13515	35126
1242	13527	35119
1243	13539	35111
1244	13550	35101
1245	13562	35092
1246	13573	35082
1247	13584	35072
1248	13595	35061
1249	13607	35052
1250	13617	35040
1251	13628	35028
1252	13638	35017
1253	13649	35005
1254	13659	34993
1255	13670	34980
1256	13680	34968
1257	13690	34955
1258	13700	34942
1259	13710	34930
1260	13722	34921
1261	13733	34909
1262	13743	34897
1263	13754	34885
1264	13765	34875
1265	13776	34865
1266	13787	34855
1267	13798	34845
1268	13809	34834
1269	13820	34824
1270	13831	34813
1271	13842	34801
1272	13852	34788
1273	13862	34775
1274	13873	34764
1275	13883	34751
1276	13893	34739
1277	13904	34728
1278	13914	34715
1279	13924	34702
1280	13934	34689
1281	13944	34676
1282	13955	34664
1283	13965	34653
1284	13976	34641
1285	13987	34631
1286	13998	34620
1287	14008	34608
1288	14019	34597
1289	14029	34584
1290	14039	34572
1291	14050	34559
1292	14060	34546
1293	14070	34534
1294	14080	34522
1295	14091	34510
1296	14101	34496
1297	14112	34486
1298	14123	34475
1299	14134	34465
1300	14144	34454
1301	14155	34444
1302	14166	34433
1303	14177	34422
1304	14188	34410
1305	14198	34397
1306	14208	34385
1307	14220	34376
1308	14231	34367
1309	14242	34356
1310	14252	34344
1311	14263	34332
1312	14273	34320
1313	14284	34308
1314	14294	34296
1315	14305	34285
1316	14315	34272
1317	14326	34261
1318	14336	34248
1319	14347	34237
1320	14357	34224
1321	14367	34213
1322	14378	34202
